Time,Direction,Speed,Temperature,Pressure
2008-01-01 00:00:00,19.36,16.006666666666668,13.972499999999998,101430.83333333331
2008-01-01 01:00:00,22.379166666666663,16.788333333333334,13.453333333333331,101560.83333333331
2008-01-01 02:00:00,22.93166666666667,17.371666666666666,12.891666666666666,101670.83333333331
2008-01-01 03:00:00,21.584166666666665,18.2475,12.2325,101767.5
2008-01-01 04:00:00,21.671666666666667,18.72833333333333,11.739166666666668,101860.0
2008-01-01 05:00:00,22.176666666666662,18.394166666666667,11.278333333333334,101958.33333333331
2008-01-01 06:00:00,22.65416666666667,17.800833333333333,11.029166666666669,102069.16666666669
2008-01-01 07:00:00,21.308333333333334,17.695833333333333,10.809166666666668,102147.5
2008-01-01 08:00:00,21.35833333333333,17.085833333333333,10.531666666666666,102233.33333333331
2008-01-01 09:00:00,20.148333333333333,16.805,10.265833333333331,102280.0
2008-01-01 10:00:00,18.91333333333333,16.06,10.174166666666666,102307.5
2008-01-01 11:00:00,17.39916666666667,15.425833333333332,10.195,102320.83333333331
2008-01-01 12:00:00,14.458333333333334,14.468333333333334,10.326666666666666,102352.5
2008-01-01 13:00:00,12.3725,14.428333333333333,10.5475,102372.5
2008-01-01 14:00:00,10.895833333333334,13.89,10.708333333333334,102368.33333333331
2008-01-01 15:00:00,8.725833333333334,13.124166666666667,10.928333333333333,102376.66666666669
2008-01-01 16:00:00,6.9325,14.28,11.055833333333332,102395.0
2008-01-01 17:00:00,7.345833333333334,13.99,11.050833333333337,102447.5
2008-01-01 18:00:00,5.5808333333333335,14.85,10.785833333333334,102518.33333333331
2008-01-01 19:00:00,8.121666666666668,14.241666666666667,10.363333333333332,102589.16666666669
2008-01-01 20:00:00,3.5716666666666668,13.355,10.066666666666666,102656.66666666669
2008-01-01 21:00:00,5.008333333333334,13.480833333333337,9.8525,102699.16666666669
2008-01-01 22:00:00,5.695833333333333,13.964166666666666,9.546666666666669,102730.0
2008-01-01 23:00:00,6.723333333333334,14.424166666666666,9.126666666666669,102766.66666666669
2008-01-02 00:00:00,6.948333333333333,15.138333333333334,8.7575,102817.5
2008-01-02 01:00:00,7.195833333333333,15.544166666666667,8.299166666666666,102866.66666666669
2008-01-02 02:00:00,6.1525,16.105833333333333,7.863333333333333,102891.66666666669
2008-01-02 03:00:00,6.621666666666667,16.396666666666665,7.420833333333333,102918.33333333331
2008-01-02 04:00:00,6.019166666666667,16.37666666666667,7.015833333333333,102940.0
2008-01-02 05:00:00,5.663333333333334,15.9525,6.630833333333334,102969.16666666669
2008-01-02 06:00:00,5.706666666666667,15.668333333333337,6.298333333333333,103001.66666666669
2008-01-02 07:00:00,4.243333333333333,15.8625,5.986666666666667,103034.16666666669
2008-01-02 08:00:00,5.0325,15.4,5.886666666666667,103059.16666666669
2008-01-02 09:00:00,6.095833333333334,14.725,5.82,103055.0
2008-01-02 10:00:00,6.494166666666668,14.171666666666669,5.819166666666667,103030.0
2008-01-02 11:00:00,4.955,13.736666666666666,5.931666666666668,103012.5
2008-01-02 12:00:00,5.3475,13.131666666666668,6.173333333333333,103000.0
2008-01-02 13:00:00,4.309166666666667,12.820833333333333,6.461666666666667,102989.16666666669
2008-01-02 14:00:00,3.905833333333333,12.696666666666667,6.743333333333333,102952.5
2008-01-02 15:00:00,4.335,12.334166666666668,7.0475,102914.16666666669
2008-01-02 16:00:00,7.096666666666667,12.158333333333331,7.354166666666667,102880.83333333331
2008-01-02 17:00:00,10.0575,12.105,7.448333333333333,102886.66666666669
2008-01-02 18:00:00,11.810833333333337,12.135833333333332,7.421666666666667,102901.66666666669
2008-01-02 19:00:00,15.795833333333334,12.159166666666666,7.189166666666666,102920.0
2008-01-02 20:00:00,21.6225,12.1025,7.010833333333333,102920.83333333331
2008-01-02 21:00:00,27.76833333333333,11.999166666666667,6.854166666666667,102905.0
2008-01-02 22:00:00,29.89333333333333,11.565833333333332,6.756666666666667,102875.83333333331
2008-01-02 23:00:00,34.3575,10.948333333333332,6.784166666666667,102847.5
2008-01-03 00:00:00,41.31,10.434166666666666,6.811666666666667,102850.0
2008-01-03 01:00:00,45.725,10.068333333333332,6.761666666666667,102851.66666666669
2008-01-03 02:00:00,48.623333333333335,9.626666666666669,6.769166666666667,102830.83333333331
2008-01-03 03:00:00,52.40916666666666,9.5675,6.7625,102816.66666666669
2008-01-03 04:00:00,54.5875,9.3325,6.779166666666666,102809.16666666669
2008-01-03 05:00:00,55.78333333333333,9.1925,6.814166666666668,102803.33333333331
2008-01-03 06:00:00,56.928333333333335,8.960833333333333,6.848333333333334,102800.0
2008-01-03 07:00:00,57.855,9.231666666666667,6.891666666666667,102788.33333333331
2008-01-03 08:00:00,60.14833333333333,9.32,6.924166666666667,102780.83333333331
2008-01-03 09:00:00,61.07916666666667,8.9275,7.095833333333334,102769.16666666669
2008-01-03 10:00:00,62.48333333333334,8.489166666666668,7.361666666666667,102742.5
2008-01-03 11:00:00,64.73666666666666,8.195,7.633333333333333,102701.66666666669
2008-01-03 12:00:00,67.01666666666667,7.68,7.952500000000001,102663.33333333331
2008-01-03 13:00:00,70.5325,7.325833333333333,8.275,102625.83333333331
2008-01-03 14:00:00,72.83583333333333,6.9375,8.574166666666667,102561.66666666669
2008-01-03 15:00:00,80.29833333333333,6.75,8.911666666666667,102507.5
2008-01-03 16:00:00,85.29666666666667,6.355,9.25,102450.0
2008-01-03 17:00:00,92.95166666666668,6.489999999999999,9.458333333333334,102391.66666666669
2008-01-03 18:00:00,94.36,6.339166666666667,9.718333333333334,102359.16666666669
