Hour,Speed,Direction
0,16.006666666666668,19.36
1,16.788333333333334,22.379166666666663
2,17.371666666666666,22.93166666666667
3,18.2475,21.584166666666665
4,18.72833333333333,21.671666666666667
5,18.394166666666667,22.176666666666662
6,17.800833333333333,22.65416666666667
7,17.695833333333333,21.308333333333334
8,17.085833333333333,21.35833333333333
9,16.805,20.148333333333333
10,16.06,18.91333333333333
11,15.425833333333332,17.39916666666667
12,14.468333333333334,14.458333333333334
13,14.428333333333333,12.3725
14,13.89,10.895833333333334
15,13.124166666666667,8.725833333333334
16,14.28,6.9325
17,13.99,7.345833333333334
18,14.85,5.5808333333333335
19,14.241666666666667,8.121666666666668
20,13.355,3.5716666666666668
21,13.480833333333337,5.008333333333334
22,13.964166666666666,5.695833333333333
23,14.424166666666666,6.723333333333334
24,15.138333333333334,6.948333333333333
25,15.544166666666667,7.195833333333333
26,16.105833333333333,6.1525
27,16.396666666666665,6.621666666666667
28,16.37666666666667,6.019166666666667
29,15.9525,5.663333333333334
30,15.668333333333337,5.706666666666667
31,15.8625,4.243333333333333
32,15.4,5.0325
33,14.725,6.095833333333334
34,14.171666666666669,6.494166666666668
35,13.736666666666666,4.955
36,13.131666666666668,5.3475
37,12.820833333333333,4.309166666666667
38,12.696666666666667,3.905833333333333
39,12.334166666666668,4.335
40,12.158333333333331,7.096666666666667
41,12.105,10.0575
42,12.135833333333332,11.810833333333337
43,12.159166666666666,15.795833333333334
44,12.1025,21.6225
45,11.999166666666667,27.76833333333333
46,11.565833333333332,29.89333333333333
47,10.948333333333332,34.3575
48,10.434166666666666,41.31
49,10.068333333333332,45.725
50,9.626666666666669,48.623333333333335
51,9.5675,52.40916666666666
52,9.3325,54.5875
53,9.1925,55.78333333333333
54,8.960833333333333,56.928333333333335
55,9.231666666666667,57.855
56,9.32,60.14833333333333
57,8.9275,61.07916666666667
58,8.489166666666668,62.48333333333334
59,8.195,64.73666666666666
60,7.68,67.01666666666667
61,7.325833333333333,70.5325
62,6.9375,72.83583333333333
63,6.75,80.29833333333333
64,6.355,85.29666666666667
65,6.489999999999999,92.95166666666668
66,6.339166666666667,94.36
67,6.551666666666667,107.09083333333332
68,6.008333333333333,107.655
69,6.3425,108.19583333333334
70,6.110833333333333,113.485
71,5.795000000000001,112.94
72,5.715,117.01583333333332
73,5.91,95.6775
74,5.15,101.02666666666666
75,6.2175,100.90666666666668
76,7.216666666666666,101.115
77,8.351666666666667,95.8925
78,9.2825,99.94583333333333
79,8.693333333333333,92.9125
80,9.386666666666668,100.02583333333332
81,9.615,116.375
82,9.4325,113.37416666666668
83,9.9175,109.49166666666667
84,9.9975,104.3725
85,9.905,104.8175
86,10.098333333333334,107.96750000000002
87,10.0975,107.12416666666668
88,9.003333333333334,105.24416666666669
89,8.736666666666666,115.65833333333336
90,9.635,131.85166666666666
91,9.631666666666666,137.7775
92,9.774166666666668,140.07916666666668
93,10.17,138.73
94,10.328333333333331,143.44166666666666
95,10.820833333333333,148.2075
96,10.845833333333331,155.02416666666667
97,10.3925,163.67666666666668
98,10.3975,166.9775
99,11.06,168.66166666666666
100,10.4,171.71916666666667
101,10.290833333333332,172.38916666666668
102,9.988333333333332,172.6241666666667
103,9.85,168.64666666666668
104,10.018333333333333,165.6275
105,10.3275,175.21083333333334
106,9.414166666666668,178.06000000000003
107,9.508333333333333,176.67583333333334
108,9.0975,172.345
109,9.565833333333332,171.34333333333333
110,9.134166666666667,165.48583333333332
111,8.651666666666667,165.00916666666666
112,9.175,156.42083333333332
113,10.5475,154.7175
114,11.059166666666668,153.91666666666666
115,11.55,156.32000000000002
116,11.581666666666663,156.4525
117,11.652500000000002,157.28083333333333
118,11.223333333333334,156.0825
119,11.347500000000002,160.08333333333334
120,11.305833333333332,161.5925
121,11.246666666666668,162.11333333333334
122,11.519166666666663,162.4475
123,11.596666666666666,165.5475
124,11.311666666666667,164.50833333333333
125,11.2025,163.70000000000002
126,10.954166666666666,165.23166666666663
127,10.63,164.86583333333334
128,10.600833333333334,160.45916666666668
129,10.8825,163.0675
130,10.399166666666666,169.73166666666663
131,9.839166666666666,164.3975
132,10.038333333333332,159.6858333333333
133,10.225833333333332,156.78666666666666
134,9.638333333333334,157.98416666666665
135,9.4675,154.16666666666666
136,10.656666666666666,158.08916666666667
137,9.965,152.88916666666665
138,10.230833333333331,154.6075
139,10.4025,152.97
140,10.906666666666666,153.9391666666667
141,11.11,155.8375
142,11.429166666666667,160.9425
143,11.528333333333334,163.8475
144,10.876666666666669,159.38333333333333
145,10.738333333333337,158.5625
146,11.696666666666664,155.26250000000002
147,12.701666666666666,163.91666666666666
148,12.804166666666667,163.49916666666667
149,11.783333333333331,159.62083333333334
150,10.54,157.3766666666667
151,11.5175,155.08166666666668
152,10.833333333333334,158.04083333333332
153,10.971666666666666,154.04333333333332
154,13.293333333333337,158.14333333333337
155,11.425833333333337,154.50666666666666
156,11.225,150.6225
157,12.591666666666669,150.67166666666665
158,12.605833333333337,151.70083333333335
159,12.69,150.18333333333334
160,12.576666666666666,147.74
161,12.633333333333333,146.5091666666667
162,12.576666666666666,147.83916666666667
163,12.470833333333331,147.56583333333333
164,12.9675,149.29833333333335
165,13.399166666666666,151.96916666666667
166,13.556666666666668,154.3841666666667
167,15.460833333333332,157.44916666666668
168,15.086666666666666,160.57666666666668
169,12.9375,161.32333333333335
170,12.544166666666667,165.26916666666668
171,13.023333333333332,167.88166666666666
172,11.3875,166.51333333333335
173,11.619166666666668,166.64666666666668
174,10.998333333333337,167.64916666666667
175,11.351666666666668,167.82500000000002
